dato,Ordinær skatt på utvinning av petroleum,Særskatt på utvinning av petroleum
2008-08,53958.1,90207.7
2008-09,53959.6,90210.3
2008-10,73026.6,122635.1
2008-11,72999.5,122588.9
2008-12,88715.1,150693.1
2009-01,5.9,10.0
2009-02,13021.4,22140.6
2009-03,13025.7,22174.8
2009-04,25950.5,44153.6
2009-05,25866.0,44070.5
2009-06,37013.6,63187.9
2009-07,35753.7,61344.6
2009-08,45715.3,77366.9
2009-09,44743.6,76094.8
2009-10,54455.7,91871.1
2009-11,54162.6,92192.2
2009-12,61500.6,103733.3
2010-01,12.7,20.4
2010-02,8160.9,13125.8
2010-03,8155.6,13120.2
2010-04,17467.8,28098.2
2010-05,17440.6,28054.3
2010-06,25594.2,41168.5
2010-07,25829.9,41563.7
2010-08,37023.8,59916.9
2010-09,37059.8,59976.5
2010-10,48252.9,78328.4
2010-11,48274.7,78364.0
2010-12,59249.2,96360.1
2011-01,21.7,35.6
2011-02,10909.8,17887.6
2011-03,11009.4,18057.9
2011-04,22201.1,36413.6
2011-05,22201.1,36413.6
2011-06,33108.3,54296.7
2011-07,33020.2,54153.5
2011-08,48052.1,78780.1
2011-09,48811.4,80023.8
2011-10,63389.2,103901.8
2011-11,63595.1,103695.9
2011-12,78243.3,127693.3
2012-01,28.5,46.7
2012-02,13922.7,22817.9
2012-03,14153.7,23196.3
2012-04,27712.7,45406.0
2012-05,27732.7,45438.6
2012-06,41450.6,67916.5
2012-07,41692.5,68322.8
2012-08,56641.5,93430.0
2012-09,56631.8,93404.2
2012-10,71951.6,119134.5
2012-11,71964.8,119588.3
2012-12,85803.0,142867.9
2013-01,23.9,40.1
2013-02,13248.0,22250.5
2013-03,13272.4,22292.0
2013-04,31395.6,52730.2
2013-05,31325.8,52607.2
2013-06,44391.2,74550.9
2013-07,44517.5,74755.1
2013-08,56325.1,93833.1
2013-09,56321.3,93828.8
2013-10,68647.7,113745.0
2013-11,68994.1,114155.4
2013-12,76118.1,125385.7
2014-01,202.4,327.4
2014-02,11891.6,19214.0
2014-03,11812.1,19080.0
2014-04,24237.8,39157.1
2014-05,24682.2,39875.1
2014-06,36136.3,58382.1
2014-07,36174.8,58446.1
2014-08,46502.1,75634.1
2014-09,46540.5,75698.0
2014-10,56979.1,93071.3
2014-11,56788.2,93364.3
2014-12,64212.4,105837.4
2015-01,615.4,1024.2
2015-02,8804.7,14653.4
2015-03,8658.4,14428.1
2015-04,17464.3,29083.6
2015-05,17235.1,28710.4
2015-06,26058.2,43394.8
2015-07,26344.6,43842.1
2015-08,32854.9,54016.8
2015-09,32854.9,54016.8
2015-10,39711.1,64732.5
2015-11,39711.1,64732.5
2015-12,39476.7,64195.8
2016-01,-4.1,-6.3
2016-02,4429.7,6922.9
2016-03,4406.4,6880.3
2016-04,8806.6,13757.2
2016-05,8819.1,13777.8
2016-06,13296.8,20782.7
2016-07,13058.1,20394.3
2016-08,16331.7,25715.2
2016-09,16610.5,26169.1
2016-10,19862.1,30823.7
2016-11,13074.4,20235.0
2016-12,16034.2,25058.5
2017-01,0.0,0.0
2017-02,3188.0,5181.4
2017-03,3505.1,5696.7
